#####################################################################################################
# NeXus source file: proteinSample
# NXdata: name = img{3}_azimuthalIntegration_Px_1626
#
#
# Exposure_msec                                     990.0 + 0.0
# _diffrn_source.source                             Storage Ring Soleil, beamline SWING
# _diffrn_sofware                                   Foxtrot 3.5.2-3615
# _diffrn_detector.detector                         EIGER-4M
# _diffrn_comment.comment                           AcqName=proteinSample    Position=A2    Volume=50    Method=CAP    Column=-   buffer @ 2 min with 180 frames   20mM Tris - 150mM NaCl
# _sas_detc.pixnum_ax                               [1035]
# _sas_detc.pixnum_eq                               [1083]
# _sas_detc.pixsize                                 150.0
# _sas_detc.center_ax                               312.227376677
# _sas_detc.center_eq                               959.996036587
# _sas_detc.dist_spec/detc                          1999.99196595
# _sas_detc.energy                                  11.9999844033
# _sas_detc.gain                                    1.0
# _sas_detc.detector_based_uncertainty              0.0
# _sas_detc.encoder_delta                           0.0
# _sas_detc.delta0                                  0.0
# _sas_detc.gamma_offset                            0.0
# _sas_detc.wave_length                             1.03320289038
# _sas_detc.bias                                    0
# _sas_detc.mask                                    D:\\Foxtrot-3.5.2-3615-2018-12-05-104649\\resources\\masks\\mask_loris_janv2019.txt
# Normalization                                     true
# Normalization Factor                              0.0222
# Normalization Monitor                             i11-c-c09__DT__MI_DIODE.8b__#2
# Normalization Intensity                           4.58975087891e-06
# GlobalNormalization                               1151.32347208
#####################################################################################################
q(A-1)              I(q)proteinSample_HPLCBuffer_00004{3}_AzInt_Px_1626         Sig(q)proteinSample_HPLCBuffer_00004{3}_AzInt_Px_1626       
0.0                 nan                                                         nan                                                         
0.000456097049688   nan                                                         nan                                                         
0.000912194093603   nan                                                         nan                                                         
0.00136829112597    nan                                                         nan                                                         
0.00182438814103    nan                                                         nan                                                         
0.00228048513299    nan                                                         nan                                                         
0.00273658209609    nan                                                         nan                                                         
0.00319267902455    nan                                                         nan                                                         
0.00364877591261    nan                                                         nan                                                         
0.00410487275449    1.69978410495                                               0.0384236263987                                             
0.00456096954441    1.08392257056                                               0.0072320993098                                             
0.00501706627661    0.766157098295                                              0.00456021656641                                            
0.00547316294531    0.551488754747                                              0.00306467783293                                            
0.00592925954474    0.426398476999                                              0.00240557812397                                            
0.00638535606913    0.322455524413                                              0.00191968421801                                            
0.00684145251271    0.250563813485                                              0.00172663077713                                            
0.00729754886969    0.20141569608                                               0.00143462694223                                            
0.00775364513432    0.167001890245                                              0.00128387046293                                            
0.00820974130081    0.140903001819                                              0.00111750377571                                            
0.0086658373634     0.118361401503                                              0.000999052749056                                           
0.00912193331631    0.103375894061                                              0.000916051318163                                           
0.00957802915377    0.090553687829                                              0.000806236608964                                           
0.01003412487       0.0789367447775                                             0.000762255927396                                           
0.0104902204593     0.0694786673549                                             0.000692058420488                                           
0.0109463159157     0.0641081190761                                             0.000639866596997                                           
0.0114024112337     0.0565911813103                                             0.000601183969163                                           
0.0118585064073     0.0526365129495                                             0.000546638730409                                           
0.0123146014308     0.0487680331561                                             0.000521084286948                                           
0.0127706962985     0.0452503127819                                             0.000505188190107                                           
